x, y
1.62901, 0.12584
1.63383, 0.12793
1.6396, 0.13003
1.64538, 0.13212
1.65019, 0.13422
1.65501, 0.13631
1.66078, 0.1384
1.66656, 0.1405
1.67137, 0.14259
1.67715, 0.14469
1.68196, 0.14678
1.68774, 0.14888
1.62323, 0.12395
1.62035, 0.1227
1.61553, 0.1206
1.60976, 0.11851
1.60494, 0.11642
1.5982, 0.11432
1.59724, 0.11348
1.59339, 0.11139
1.58665, 0.1093
1.58184, 0.1072
1.57606, 0.10511
1.57028, 0.10301
1.56547, 0.10092
1.56065, 0.09882
1.55488, 0.09673
1.5491, 0.09464
1.54332, 0.09254
1.53851, 0.09045
1.53273, 0.08835
1.52792, 0.08626
1.52214, 0.08417
1.51733, 0.08207
1.51155, 0.07998
1.50674, 0.07788
1.50096, 0.07579
1.49615, 0.0737
1.49037, 0.0716
1.4846, 0.06951
1.47978, 0.06741
1.47497, 0.06532
1.46919, 0.06322
1.46341, 0.06113
1.4586, 0.05904
1.45282, 0.05694
1.44705, 0.05485
1.44223, 0.05275
1.43742, 0.05066
1.43646, 0.04961
1.43164, 0.04877
1.42683, 0.04668
1.42105, 0.04459
1.41624, 0.04249
1.41046, 0.0404
1.40565, 0.0383
1.39891, 0.036
1.39506, 0.03391
1.38832, 0.03181
1.3835, 0.02972
1.37773, 0.02762
1.37388, 0.02553
1.37003, 0.02448
1.36521, 0.02239
1.35944, 0.02029
1.35366, 0.0182
1.34884, 0.01611
1.34307, 0.01401
1.33825, 0.01192
1.33248, 0.00982
1.32766, 0.00773
1.32189, 0.00564
1.31707, 0.00354
1.3113, 0.00145
