x, y
2.33226, 0.91273
2.28953, 0.86432
2.23077, 0.79216
2.17201, 0.71815
2.12927, 0.6654
2.07051, 0.5967
2.08654, 0.60984
2.02778, 0.55287
2.01175, 0.53509
1.95833, 0.47464
1.91026, 0.42101
1.86752, 0.37754
1.82479, 0.33489
1.78739, 0.29706
1.74466, 0.2635
1.71261, 0.23373
1.68056, 0.20733
1.64316, 0.17606
1.61645, 0.15617
1.58974, 0.13853
1.56838, 0.12288
1.54701, 0.10899
1.52564, 0.09668
1.50427, 0.083
1.49359, 0.07607
1.47222, 0.06972
1.47222, 0.0646
1.45085, 0.05426
1.43483, 0.04608
1.42415, 0.04087
1.41346, 0.03626
1.40278, 0.03216
1.39209, 0.02853
1.38675, 0.0253
1.37607, 0.02245
1.37073, 0.01991
1.36538, 0.01766
1.36004, 0.01567
1.3547, 0.0139
1.34936, 0.01233
1.34402, 0.01093
1.33333, 0.00918
1.32799, 0.00815
1.32799, 0.00763
1.31731, 0.00641
1.31197, 0.00569
1.30662, 0.00504
1.30128, 0.00478
1.29594, 0.00424
1.2906, 0.00376
1.28526, 0.00333
1.27991, 0.00296
1.27457, 0.00262
1.26923, 0.00233
1.26389, 0.00206
1.25855, 0.00183
1.25321, 0.00162
1.25321, 0.00144
1.24786, 0.00128
1.24252, 0.00113
1.23184, 0.00101
1.23184, 0.00094
1.2265, 0.00084
1.22115, 0.00078
1.21581, 0.00069
1.21047, 0.00062
1.20513, 0.00055
1.19979, 0.00046
1.19444, 0.00041
1.1891, 0.00036
1.18376, 0.00032
1.17308, 0.00027
1.16774, 0.00024
1.16239, 0.00021
1.15171, 0.00018
1.14637, 0.00016
1.14103, 0.00014
1.13568, 0.00012
1.13034, 0.00011
1.13568, 0.0001
